user_id,KC5,KC4,KC2,KC1,KC7,KC8,KC3,KC6
2111,Revisit by myself (weekly),Revisit by myself (monthly),Only when notified by course convener,Only when notified by course convener,Only when notified by course convener,Revisit by myself (weekly),Only when notified by course convener,Revisit by myself (monthly)
1946,Revisit by myself (weekly),Revisit by myself (weekly),Revisit by myself (weekly),Revisit by myself (weekly),Revisit by myself (weekly),Revisit by myself (weekly),Revisit by myself (weekly),Revisit by myself (weekly)
2357,Revisit by myself (monthly),Revisit by myself (monthly),Revisit by myself (weekly),Revisit by myself (weekly),Revisit based on activity (if I see it in quiz),Revisit based on activity (if it is related to my assessment),Revisit by myself (weekly),Revisit by myself (weekly)
1695,Revisit by myself (weekly),Revisit by myself (weekly),Revisit based on activity (if it is related to my assessment),Only when notified by course convener,Revisit based on activity (if it is related to my assessment),Revisit based on activity (if it is related to my assessment),Revisit based on activity (if it is related to my assessment),Revisit based on activity (if it is related to my assessment)
2485,Revisit by myself (weekly),Revisit based on activity (if I see it in quiz),Revisit by myself (weekly),Revisit by myself (weekly),Revisit by myself (monthly),Revisit by myself (weekly),Revisit based on activity (if it is related to my assessment),Revisit based on activity (if I see it in quiz)
1960,Revisit by myself (weekly),Revisit by myself (weekly),Revisit by myself (weekly),Revisit by myself (weekly),Revisit by myself (weekly),Revisit by myself (weekly),Revisit by myself (weekly),Revisit by myself (weekly)
1712,Revisit based on activity (if it is related to my assessment),Revisit based on activity (if I see it in quiz),Revisit based on activity (if it is mentioned in lectures or labs),Revisit by myself (monthly),Revisit based on activity (if it is mentioned in lectures or labs),Revisit based on activity (if it is mentioned in lectures or labs),Revisit based on activity (if it is related to my assessment),Revisit based on activity (if it is related to my assessment)
2104,Revisit based on activity (if it is related to my assessment),Revisit based on activity (if it is related to my assessment),Revisit based on activity (if it is related to my assessment),Revisit based on activity (if it is related to my assessment),Revisit based on activity (if it is related to my assessment),Revisit based on activity (if it is related to my assessment),Revisit based on activity (if it is related to my assessment),Revisit based on activity (if it is related to my assessment)
2261,Revisit based on activity (if I see it in quiz),Revisit by myself (monthly),Revisit by myself (monthly),Revisit by myself (monthly),Never,Never,Never,Never
2167,Revisit based on activity (if it is related to my assessment),Revisit by myself (monthly),Revisit based on activity (if it is related to my assessment),Revisit by myself (weekly),Revisit based on activity (if it is related to my assessment),Revisit based on activity (if it is related to my assessment),Revisit based on activity (if it is related to my assessment),Revisit based on activity (if it is related to my assessment)
1964,Revisit based on activity (if it is related to my assessment),Revisit by myself (monthly),Revisit based on activity (if it is related to my assessment),Revisit by myself (weekly),Revisit based on activity (if it is related to my assessment),Revisit based on activity (if it is related to my assessment),Revisit based on activity (if it is related to my assessment),Revisit based on activity (if it is related to my assessment)
2072,Only when notified by course convener,Only when notified by course convener,Only when notified by course convener,Only when notified by course convener,Only when notified by course convener,Only when notified by course convener,Only when notified by course convener,Only when notified by course convener
